Other group,American Autoduel Association,none,1,0,5,1,violent weird
Other group,Anti-Nuclear Activists,+2 on any attempt to destroy Nuclear Power Companies,2,0,5,1,liberal
Other group,Antiwar Activists,none,0,0,3,1,peaceful liberal
Other group,Big Media,none,4,3,6,3,Liberal Straight
Other group,Boy Sprouts,none,0,0,3,1,straight peaceful
Other group,California,none,5,0,4,5,Liberal Weird Government
Other group,CFL-AIO,none,6,0,5,3,liberal
Other group,Chinese Campaign Donors,treat group as government when it attempts to control a government group,3,0,2,3,communist
Other group,C.I.A,none,6,4,5,0,government violent
Other group,Clone Arrangers,+3 on any attempt to destroy any group,6,2,6,1,Violent Communist Criminal
Other group,Comic Book,none,1,0,1,2,Weird Violent
Other group,Congressional Wives, none,1,0,4,1,Conservative Straight
Other group,Convenience Stores,none,1,0,4,3,Straight
Other group,Copy Shops,none,1,0,3,4,Peaceful
Other group,Cycle Gangs,+2 on any attempt to destroy any group,0,0,4,0,Violent Weird
Other group,Democrats,none,5,0,4,3,Liberal
Other group,Eco-Guerrillas,none,0,0,6,1,Liberal Violent Weird
Other group,Empty Vee,none,3,0,3,4,none
Other group,Evil Geniuses for a Better Tomorrow,+4 on any attempt to control or neutralize or destroy the orbital mind control lasers,0,2,6,3,Violent Weird
Other group,Fast Food Chains,none,2,0,4,3,Straight
Other group,F.B.I.,none,4,2,6,0,Government Straight
Other group,Federal Reserve,when it transfer money that money can go to any group in the same power structure,5,3,7,6,government
Other group,Feminists,+3 on any attempt to control any Liberal group,2,0,2,1,Liberal
Other group,Fiendish Fluoridators,none,3,0,5,1,Communists Fanatics
Other group,Flat Eathers,none,1,0,2,1,Weird Conservative
Other group,Fnord Motor Company,none,2,0,4,2, Peaceful
Other group,Fraternal Orders,none,3,0,5,2, Conservative
Other group,Girlie Magazines,none,2,0,2,3,Liberal
Other group,Goldfish Fanciers,none,0,0,4,1,Peaceful Fanatic
Other group,Gun Lobby,normal resistance 3 and against any liberal communist or weird group resistance 10,1,0,3,1,Conservative Violent
Other group,Hackers,+3 on any attempt to neutralize any group,1,1,4,2,Weird Fanatic
Other group,Health Food Stores, +2 on any attempt to control Anti-Nuclear Activists,1,0,3,2,Liberal
Other group,Hollywood,none,2,0,0,5,Liberal
Other group,Intellectuals,none,0,0,3,1,Weird Fanatic
